token,name,unique
"rlhu9q","Get Mail","false"
"ncsa2y","Onboarding - Age Verification Appear","false"
"8le0si","Onboarding - Category Appear","false"
"pplvr3","Onboarding - Notifications Appear","false"
"z0fhf3","Onboarding - Notifications - Enabled Notifications Button tapped","false"
"udzb4t","Onboarding - Notifications - Not Now tapped","false"
"40ccjt","Sent Mail","false"
"v4v0k1","Sent Reaction","false"
"f5erqb","Sent Reply","false"
"h3oew9","session_end","false"
"xe30he","session_start","false"
"rcvpc3","Sign in with Apple button tapped","false"
"ev36wo","Sign in with Email button tapped","false"
"l38ymr","Sign in with Email - Email Submit button tapped","false"
