id,author_id,display_name,title,content,category_id,created_at,updated_at,is_anonymous,mood_emoji
021363a5-e56b-4210-ba4a-0099f14255b5,fd3c4746-5f3a-45da-bd13-4274740c44a8,worried,I’m so embarrassed,"I realized I had a mishap after anal sex. Even though I showered beforehand and thought I was super clean, a small amount of fecal matter escaped. My partner was nice about it and reassured me that it's normal. However, I can't shake the feeling of discomfort and insecurity. How can I avoid future mishaps and ensure my partner remains comfortable?",aec7266a-6b93-466f-a4b5-a516e200a817,2025-04-01 15:25:24.295909+00,2025-04-16 07:16:23.551274+00,false,😕
025b644c-e059-4aae-be2b-b7575d731941,fd3c4746-5f3a-45da-bd13-4274740c44a8,healing rage,Anger is destroying my life.,"My anger has been completely out of control since the pandemic. All my past trauma, toxic work issues and personal problems keeps blowing up in my face.

I'm having outbursts way more often now and it's scaring everyone around me. When life feels like it's spinning out and I can't do anything about it, I just get so mad.

I catch myself obsessing over old hurts, overthinking every little thing happening, and beating myself up about past mistakes. The more I try to avoid dealing with my actual feelings, the worse it gets.

I need to take a timeout to figure out where all this anger is coming from and find better ways to deal before I completely self-destruct.",81c1e0d1-abb5-4d9d-8958-2224c59516cf,2025-04-01 15:09:53.322438+00,2025-04-15 14:19:12.402756+00,false,😢
08c92b68-a956-4078-a880-2e46b866d875,fd3c4746-5f3a-45da-bd13-4274740c44a8,"strongernow ",Recovery is possible,"I've been in recovery from anorexia and bulimia for like a year and a half now. It's wild how different life is. I still sometimes get random flashbacks of hunching over toilets or feeling like absolute garbage, but it feels like another lifetime.

The journey has been messy af. But the biggest win is how normal food feels. I don't bail on dinner plans or have panic attacks in grocery stores. My body's functioning properly, and I'm building muscle like nobody's business without even trying that hard. Can't believe how strong I feel compared to back then. Honestly, being free from that ED prison is like getting to live for the first time - 10/10 would recommend.",91e83352-5d77-46c8-ba89-10e6ddeddf03,2025-04-01 15:29:22.816782+00,2025-04-16 05:52:52.53149+00,false,😁
0c656e13-03f6-48f1-9bc2-e4eebb3a5330,fd3c4746-5f3a-45da-bd13-4274740c44a8,curious,Do guys catch feelings for female friends more?,"Why do guys always seem to catch feelings for their female friends? I've seen so many guys develop intense feelings for their female friends, only to get hit with rejection. 

What's the deal? Is it because guys misread basic friendliness? Whatever it is, the friend zone is real.",19e2f267-2e09-4212-8872-7fa672e00901,2025-04-01 15:14:30.39565+00,2025-04-16 13:11:35.864353+00,false,😕
0eec5183-70ee-4cbd-b87a-18d4756311b2,fd3c4746-5f3a-45da-bd13-4274740c44a8,done,im tired,"Pain follows me everywhere since young. I have no one to talk to, so I just walk through life alone.

Sometimes my anxiety speaks so loudly in my head that I wonder if I'm losing touch with reality. The thoughts spiral and spiral until I don't know which way is up anymore.",63737cb0-9102-487e-8341-cb4d5341f4d5,2025-04-01 15:34:12.365411+00,2025-04-15 09:21:42.363938+00,false,😪
11f33a5f-6b9a-42d9-b9a5-5a9fe8e09fca,fd3c4746-5f3a-45da-bd13-4274740c44a8,sunnydays,He went out and I'm proud of him,"I'm stuck in bed with a cold. My mom and her partner went out to the store, and my boyfriend joined them. This is a milestone for him, as he hasn't ventured outside with anyone besides family since 2021. He left the house for the first time in 4 years with someone who isn't me or his mom. Overcoming his anxieties and stepping outside is a testament to his strength and determination. I'm incredibly happy. ",91e83352-5d77-46c8-ba89-10e6ddeddf03,2025-04-01 15:28:10.722381+00,2025-04-16 06:28:49.164774+00,false,😁
15b3171a-e0a5-4efe-a7e9-45f33e56a189,fd3c4746-5f3a-45da-bd13-4274740c44a8,__,Did I miss my chance?,"Got drinks with someone I've been seeing for months now. We've been on 5 dates and text regularly. Last weekend she got tipsy and asked me to drive her home, but then wanted to crash at my place instead.

Once we got back, she was sitting super close, touching my arm when laughing, that kind of thing. I couldn't tell if it was just the alcohol talking or if she was trying to hook up. I played it safe and gave her space to sleep it off, but now I'm overthinking everything. Did I miss my chance?",19e2f267-2e09-4212-8872-7fa672e00901,2025-04-01 15:14:45.476404+00,2025-04-16 13:12:44.395262+00,false,😕
19d9c606-2f96-4b2b-b5ff-8f3a3c02e980,fd3c4746-5f3a-45da-bd13-4274740c44a8,typinqq,A message for those still holding feelings for their ex,"It hurts like hell to love someone who doesn't want you anymore. Your feelings aren't wrong. They just show you're capable of real love. Its beautiful in its own messed up way.

Give yourself permission to be sad, to miss them, to wonder. But don't let yourself believe for a second that you're unlovable. Your heart is doing exactly what hearts are supposed to do. ",19e2f267-2e09-4212-8872-7fa672e00901,2025-04-01 15:11:48.075072+00,2025-04-16 13:12:20.611073+00,false,😁
1b9877f5-7eac-43ad-9a09-6e06d098a99c,fd3c4746-5f3a-45da-bd13-4274740c44a8,justventing,My balls are too saggy for the toilets at work,"I cannot use the toilet at work without the bottom of my ballsack touching the water.

I don’t like it and I have to hold my balls while I poop.

This pisses me off, and it’s not something I can complain so here I am. ",63737cb0-9102-487e-8341-cb4d5341f4d5,2025-04-01 16:04:16.322437+00,2025-04-16 08:01:20.173458+00,false,😡
1f08468d-0fd9-4590-96e5-39860a0ef44d,fd3c4746-5f3a-45da-bd13-4274740c44a8,xo.junie,Accidentally unlocked a new skill??,"So I've always struggled with going down on my boyfriend (like, serious gag reflex issues no matter how much I tried). But last night we were in the middle of things and I was super in the moment, not overthinking for once, and somehow it just... happened?? I took him all the way without even trying!

My mind was completely blown because I literally wasn't even attempting it - we were just really into it and suddenly I realized what had happened. Of course when I tried to do it again on purpose, my body was like ""nope, sorry"" and went right back to normal. My throat's a little sore today as a reminder, but now I know it's actually possible! Definitely going to give it another try once I recover, but I'm still in shock that my biggest bedroom mental block was solved completely by accident.",95b23ac6-da16-49f0-a2b2-7c10994b0b62,2025-04-01 15:25:07.716187+00,2025-04-22 14:20:04.931374+00,false,😁
1ff57114-e9ae-4e75-87b9-7f023309ac1c,8ba8aa65-fcbf-4fc0-b938-3e2166a0566c,Monono,Test,Test 3,aec7266a-6b93-466f-a4b5-a516e200a817,2025-04-24 19:40:53.529129+00,2025-04-24 19:40:53.529129+00,false,😪
2023ce86-c469-4941-a71a-1eca8e377ca6,fd3c4746-5f3a-45da-bd13-4274740c44a8,trustissues,My friend wants to fuck my man,"My friend can't keep her eyes off my boyfriend whenever she comes over. It's becoming a problem. She's constantly staring at him, laughing way too hard at his jokes, and just giving off vibes that make me super uncomfortable.

I've tried to talk to her about it, but nothing changes. She finds ways to be close to him and acts like there's nothing. I'm starting to think she's not as innocent as she claims.

Should I confront her more directly, talk to my boyfriend about it, or just stop inviting her over? I don't want it to damage my relationship. How do I handle this without seeming paranoid or controlling?",4d46736d-7285-4d81-bbfc-d591f567be73,2025-04-01 15:52:21.522589+00,2025-04-15 08:29:58.691946+00,false,😕
223b3022-da99-4eb7-aabf-f583f44ccced,fd3c4746-5f3a-45da-bd13-4274740c44a8,notreallyok,i think i had a stroke after i orgasmed,"Last night's intimacy left me speechless, literally. Right after a night of passion, I experienced sudden speech loss and my body felt heavy. I started crying and felt terrible physically.


In my discomfort, I managed to mouth the word ""pee"" and my partner rushed me to the bathroom. Thought I was going to throw up but thankfully didn't. My voice came back after like 15-20 minutes but my heart kept racing like crazy.

I ended up falling asleep but I'm still worried about my heartbeat. Something feels off. Has anyone else ever experienced anything like this? Still shaken up about the whole thing.",81c1e0d1-abb5-4d9d-8958-2224c59516cf,2025-04-01 15:25:13.105383+00,2025-04-16 06:18:36.240178+00,false,😟
